Names,Type(s),Evolved From,Notes,Ammount of Cards,Highest HP,Highest Attack Power
Metapod,Bug,Caterpie (#0010),"Though hard, Metapod's shell is said to be easy to break open, so it hardens it further when threatened to avoid spilling its thick, liquid innards. It waits for evolution while its cells restructure. Ume Aoki, a Japanese cartoonist who is famous for her work on the manga Hidamari Sketch and the anime Puella Magi Madoka Magica, utils a likeness of herself cosplaying as a Metapod in her drawn works.[22]
",19,90,0
Butterfree,Bug / Flying,Metapod (#0011),"Its wings are covered in poisonous, water-repelling powder, which it uses to defend itself and fly in the rain. It goes from flower to flower to collect nectar, and rubs honey onto the hairs of its legs to carry back to its nest. It spreads its scales around to defend nearby Caterpie from predators. It competes with Cutiefly for territory. It gained a Gigantamax form in generation VIII.
",25,300,0
Weedle,Bug / Poison,N/A,"A common sight in forests and grassy areas, it has a two-inch poisonous stinger on its head, which it uses to defend itself. It has an acute sense of smell, being able to distinguish leaves it likes from those it dislikes with its big nose. It eats its weight in leaves every day.
",25,60,0
Kakuna,Bug / Poison,Weedle (#0013),"Kakuna remains immobile, but can stick out its stinger in self-defense. The process of its cells' rearrangement raises its body temperature to the point of making it hot to the touch.
",21,80,0
Beedrill,Bug / Poison,Kakuna (#0014),"Swarms of Beedrill set their nest in forests, and attack anything that goes near. It uses its three poisonous stingers to defeat its prey and carry them home. It gained a Mega Evolution in generation VI.
",29,210,0
Pidgey,Normal / Flying,N/A,"A common and docile Pokémon, it prefers using flapping up sand in opponents' eyes over fighting. Its sense of direction allows it to return home from however far it may be.
",19,60,0
Pidgeotto,Normal / Flying,Pidgey (#0016),"A territorial species, it will peck and claw at its opponents. It uses its claws to carry prey like Exeggcute for over 60 miles. It flies in circles, keeping a lookout for prey.
",16,90,0
Pidgeot,Normal / Flying,Pidgeotto (#0017),"Its wings are strong enough to fly at Mach 2 speed, whip up windstorms strong enough to bend trees, and fly up to 3,300 feet over the air. It skims over the water to hunt for unsuspecting fish Pokémon like Magikarp. Its glossy feathers make it a popular pick among trainers. It gained a Mega Evolution in generation VI.
",27,280,0
Rattata,Normal,N/A,"It will procreate and form nests anywhere that has enough food; each nest contains at least 40 Rattata. The colony spends entire days scavenging for food. A cautious species, it constantly listens around by moving its ears. Its incisor teeth do not stop growing, so it gnaws on hard objects, like table legs and door frames, to keep them ground down. Due to their commonness and habits of stealing food and gnawing on structures, it and Raticate are considered invasive species. Rattata has a Dark/Normal-type Alolan form.
",25,40,0
Raticate,Normal,Rattata (#0019),"It uses its whiskers to maintain balance, and slows down if they are cut off. Its webbed hind feet act as flippers, allowing it to swim in rivers to hunt or escape from opponents. To keep its teeth ground down, it chews on anything, from machinery to concrete. Like Rattata, Raticate has a Dark/Normal-type Alolan form.
",25,200,0
Spearow,Normal / Flying,N/A,"It can fly quickly, but is not adept at it. Its cries can be heard from a mile away, and it uses them to communicate with other Spearow. It flies around warmer climates, looking for bug Pokémon to eat.
",17,60,0
Fearow,Normal / Flying,Spearow (#0021),"Drawings resembling Fearow can be seen ancient murals, implying that it has not evolved since ancient days. Its stamina lets it fly for an entire day, and its long neck and beak are convenient for plucking bug and fish Pokémon.
",18,100,0
Ekans,Poison,N/A,"It uses its tongue to detect its surroundings and look for the scent for its prey. It wraps itself around trees to rest at night. If no trees are available, it coils to be able to respond from any given direction. It preys on bird Pokémon and their eggs and can stretch its jaw to swallow them whole, but eating something too big can leave it too heavy to move.
",16,70,0
Arbok,Poison,Ekans (#0023),"The pattern under its head is similar to a face, and differs by region. Research has shown over 20 different patterns. Its coiling is strong enough to flatten oil drums, and its fangs are used to inject poison into its prey. It can use its pattern or hiss to intimidate opponents. If any part of its body besides its head is cut off, the rest of its body can grow back in weeks. It preys on smaller Pokémon like Wooper, or eggs of bird Pokémon like Pidgey and Spearow.
",19,270,0
Pikachu,Electric,Pichu (#0172),"Pikachu is the primary mascot of the Pokémon franchise, as well as Pokémon Yellow and Let's Go, Pikachu!. It is also playable in every Super Smash Bros. game. It raises its tail to check its surroundings, but may be struck by a lightning bolt in this position. It gathers electricity from the atmosphere, and uses it to roast berries, communicate with other Electric-type Pokémon, and attack its opponents. Groups of Pikachu having their tails raised can inadvertedly cause lightning storms. Cramorant often swallow Pikachu by accident.
",173,310,0
Raichu,Electric,Pikachu (#0025),"Its tail can be used as a lightning rod to gather electricity, or as a ground to protect itself. It can store and eject up to 100,000 volts, enough to knock out a Copperajah. To avoid physically straining itself, it will discharge excess electricity into the ground, leaving its surroundings burned. Because it evolves via a stone and Pikachu is more popular, Raichu are rarely seen. It has an Electric/Psychic-type Alolan form. Both forms of Raichu were created by Atsuko Nishida.[23]
",70,260,0
Sandshrew,Ground,N/A,"Based on the Chinese pangolin, Sandshrew is known to curl into a ball to defend itself. It burrows nests into the ground, and only digs back up to look for berries and hunt for bug Pokémon. Sandshrew has an Ice/Steel-type Alolan form.
",24,70,0
Sandslash,Ground,Sandshrew (#0027),"It can curl into a spiky ball to roll around, attack opponents, and protect itself from heatstroke or attacks. In addition to the spikes on its back, it can use its claws to attack and slash berries for its young. Like Sandshrew, it has an Ice/Steel-type Alolan form.
",23,200,0
Nidoran♀,Poison,N/A,"Eggs from both Nidoran lines can contain Nidoran of either gender. It is docile and unwilling to fight, but when encouraged, its horn and barbs can secrete poison. It uses its whiskers to check the wind for predators, and its incisors for chewing through berries.
",30,60,0
Nidorina,Poison,Nidoran♀ (#0029),"Its horn grows slowly and it does not like fighting, but when forced to do so, it tends to resort to clawing and biting opponents. It lives in groups with others of its evolutionary line, and chews food for its young.
",14,90,0
Nidoqueen,Poison / Ground,Nidorina (#0030),"It is more defensively focused than its male counterpart, Nidoking. It can poison prey with its spikes, cause tremors, or knock opponents flying with tackles. It is protective of its children, carrying them in the gaps between its spines, and sealing its burrow. While around its young, its spikes do not secrete poison. Despite Pokédex and anime descriptions, it and Nidorina cannot breed, though Nidoran♀ can.[24]
",18,170,0
Nidoran♂,Poison,N/A,"It flaps its ears around to detect potential opponents' footsteps. It injects poison into its prey with its horn. It lives with its female equivalent, and may risk its life to protect its female counterpart.
",30,60,0
Nidorino,Poison,Nidoran♂ (#0032),"Its horn and the spikes around its body are laced with poison, and its horn is harder than diamond. It uses its horn to break rocks to find Moon Stones, which it uses to evolve.
",15,90,0
Nidoking,Poison / Ground,Nidorino (#0033),"It is more offensively-focused than its female counterpart, Nidoqueen. Its tail can topple transmission towers and crush its opponents' bones, its horn can crush diamonds, and its hide is as hard as steel. If it begins to rampage, only a Nidoqueen it has lived with for a long time can calm it down.
",19,180,0
Clefairy,Fairy,Cleffa (#0173),"Timid creatures, they rarely come out, only appearing in groups to dance under a full moon. While dancing, the nearby area is enveloped in a magnetic field.
",34,190,0
Clefable,Fairy,Clefairy (#0035),"It and Clefairy are said to have come from the moon, and spend full moon nights staring at it. Its hearing is acute, being able to hear pin drops from up to 1,100 yards away, so it lives in quiet mountainous areas. Its steps are light and floaty enough to allow it to walk on water.
",25,260,0
Vulpix,Fire,N/A,"When it is born, it has one white tail that sprouts into 6 curled ones at the tip as it gets older. It can freely control fire, creating will-o-wisps that are commonly mistaken for ghosts. Before it evolves, its tails glow hotter than usual. If not properly groomed, its tails will tangle up. If raised young, it will follow its trainer like a puppy. It has an Ice-type Alolan form. It has been selected as an ""ambassador"" for Hokkaido,[25][26] and it and its Alolan form have been featured in the livery of an Air Do Boeing 767 aircraft.[27]
",48,240,0
Ninetales,Fire,Vulpix (#0037),"Its design is inspired by the nine-tailed fox of East Asian myth.[28] It can understand human speech, use its psychic power to control minds, and curse anyone who mistreats it. According to legends, nine saints reincarnated as Ninetales, and each of its tails has a different ability. It has an Ice/Fairy-type Alolan form.
",53,260,0
Jigglypuff,Normal / Fairy,Igglybuff (#0174),"It is a playable character in every Super Smash Bros. game. It can inflate itself like a balloon to float around and it can sing. Its voice's wavelength can match the brain waves of sleeping people and Pokémon, lulling them to sleep. If the foe does not fall asleep, it can risk its life by singing until it runs out of air. It also keeps singing if the foe does fall asleep.
",33,240,0
Wigglytuff,Normal / Fairy,Jigglypuff (#0039),"By inhaling air, it can inflate itself to up to 20 times its size, and float around. It does so to scare opponents away or compete with other Wigglytuff.
",26,250,0
Zubat,Poison / Flying,N/A,"Zubat has evolved to not have eyes or nostrils, so it uses echolocation to find its way. It hides in dark places while the sun is out, as its skin is sensitive to bright lights. Groups of Zubat will gather around in the cold to heat each other's bodies.
",26,50,0
Golbat,Poison / Flying,Zubat (#0041),"Its fangs are hollow like straws. It uses them to stab through the hide of its prey, but may break them when trying to bite a Steel-type Pokémon. It may sometimes suck so much blood that its blood type changes to that of its prey, and its weight leaves it unable to fly, making it easy prey.
",23,80,0
Oddish,Grass / Poison,N/A,"It buries itself in the soil to absorb the nutrients and to sleep during the day. If pulled out, it starts screaming. A nocturnal Pokémon, it wanders around to scatter seeds and absorb moonlight. It is one of the few species with a scientific name; ""Oddium Wanderus"".
",26,60,0
Gloom,Grass / Poison,Oddish (#0043),"Its leaves and the drool-like nectar on its mouth smell rancid enough to cause fainting in a mile-wide radius, though some people enjoy the smell, and some use it to produce perfume. It amplifies the odor when in danger, and stops emitting it when safe.
",24,80,0
Vileplume,Grass / Poison,Gloom (#0044),"Vileplume's large petals can be shaken or forcibly bloomed to release clouds of pollen that poison and paralyze anything near it, which it uses to weaken its prey before eating it. Walking around causes it to spread pollen around, turning the air around it yellow.
",24,240,0
Paras,Bug / Grass,N/A,"Paras has tochukaso mushrooms growing on its back. They drain nutrients from the host and control it into draining nutrients from trees. Their spores can be used to make medicine. In Alola, those spores do not grow properly.
",19,70,0
Parasect,Bug / Grass,Paras (#0046),"The tochukaso mushrooms have completely drained the Paras's body of its nutrients and taken it over. Groups of Parasect will gather around a tree, suck the nutrients out of it, and move to the next tree when it dies. Its spores can be made into medicine. Parasect in Alola are known to compete with Shiinotic, and have lower-quality spores. The bug is mostly dead, so removing the mushroom causes it to stop moving entirely.
",17,120,0
Venonat,Bug / Poison,N/A,"It uses its compounded eyes as a radar to locate prey in the dark, and can shoot light beams from them. It hunts for small bug Pokémon at night.
",13,70,0
Venomoth,Bug / Poison,Venonat (#0048),"Its wings have scales that leak venom when in contact with its opponent's skin. Lighter scales can cause paralysis, and darker ones are poisonous. A nocturnal Pokémon, it goes out at night to hunt for prey. It is attracted to bright lights.
",16,200,0
Diglett,Ground,N/A,"Some farmers like to use Diglett and Dugtrio to plough the soil for crops to grow, and some consider them pests for eating crops. No one has ever seen the full body of a Diglett. It has a Ground/Steel-type Alolan form.
",28,60,0
Dugtrio,Ground,Diglett (#0050),"Dugtrio is a three-headed Diglett. It can burrow at a speed of 60 miles per hour, and up to 60 miles underground. Like Diglett, no one has ever seen its full body. Occasionally, they will fight over which head gets to eat first. Like Diglett, Dugtrio has a Ground/Steel-type Alolan form.
",29,110,0
Meowth,Normal,N/A,"One of the main members of Team Rocket in the Pokémon anime series. Meowth withdraws its claws into its paws to sneak around without leaving footsteps. It loves round and shiny objects, coins being its favorite toys, which it will play with until it falls asleep. It sleeps during the daytime, and patrols its territory during the night, looking for loose change. It tends to fight with Murkrow over shiny objects. Giving coins to a Meowth can make it friendlier, but no less fickle. Meowth has a Dark-type Alolan form, and a Steel-type Galarian form, which evolves into Perrserker. It gained a Gigantamax form in generation VIII. Meowth is a popular Pokémon among fans of the series, primarily due to its role on the villainous organization Team Rocket.[29][30][31][32] It has widely been used in promotion for the series.[33][34][35][36]
",53,300,0
Persian,Normal,Meowth (#0052),"Its fur and jewel make it popular with the rich, but its fickle, uncaring attitude makes it hard to raise. Though it will attack anyone without provocation, including its trainer, pulling on its whiskers will temporarily make it docile. It has a Dark-type Alolan form, and a Galarian counterpart in Perrserker, whose barbaric habits clash with both Persian's elegance and ego. A Persian is owned by Team Rocket's leader Giovanni in the Pokémon anime series.
",33,200,0
Psyduck,Water,N/A,"It has constant headaches. When they worsen, normally inactive brain cells activate, causing it to accidentally unleash psychic energy. It then forgets that it used those powers.
",34,250,0
Golduck,Water,Psyduck (#0054),"It was almost hunted to extinction by hunters wanting the jewel on its forehead, believing it would grant them supernatural powers. Its psychic abilities are superior to Psyduck's. It swims effortlessly, even in rough, stormy seas. It is known to rescue people from wrecked ships.
",23,140,0
Mankey,Fighting,N/A,"Nearly anything will anger it, and when it gets angry, it will immediately attack, giving its opponent no time to flee. If it does flee or is left alone, the loneliness will make it angrier. If one Mankey in a colony gets mad, the rest will rampage with it.
",25,60,0
Primeape,Fighting,Mankey (#0056),"Getting angry causes Primeape's blood to rush faster than usual, tightening its body muscles, but making it dumber. Any form of stimuli will anger it, even while it is asleep. It can get so angry that it dies as a result, but looks peaceful in death.
",23,120,0
Growlithe,Fire,N/A,"Growlithe are friendly, loyal, and have a strong sense of smell, making them popular as guard and police dogs. It will remain motionless until it is given an order by its Trainer. Growlithe bones have been found in ruins from the Stone Age, implying that humans have used them since then. It is based on the Shisa. It has a Fire/Rock-type Hisuian form.
",38,90,0
Poliwhirl,Water,Poliwag (#0060),"Poliwhirl is among the most-marketed Pokémon.[40][41] It can live in or out of the water, but prefers living in water where, it has fewer natural enemies and more plentiful prey. When out of water, it constantly sweats so its body is always wet and slick with an oily fluid. Because of this, it can easily slip out of the clutches of its enemies. Its health suffers when its skin dries out, so trainers have to keep it moist. It goes on land in search of bug Pokémon, then takes them underwater so it can safely eat them. The spiral pattern on its belly subtly moves, and staring at it for too long can lead children and Pokémon to sleep.
",18,100,0
Poliwrath,Water / Fighting,Poliwhirl (#0061),"A skilled swimmer, it can outswim professional athletes with ease, and children imitate its movements to learn to swim. It is also skilled in martial arts, and strong enough to punch boulders into dust. Despite being adapted to life in water, it chooses to live in dry land.
",20,170,0
Abra,Psychic,N/A,"Even when sleeping, which Abra does for most of its life, it can sense danger with its highly potent psychic power. When it is in danger, it will teleport to safety. Its powers may be affected by what it is dreaming about.
",14,50,0
Kadabra,Psychic,Abra (#0063),"In November 2000, Israeli magician Uri Geller sued Nintendo, claiming Kadabra embodies an unauthorized appropriation of his identity.[42][43][44] However, in 2020, he released a claim that Nintendo could use Kadabra in cards again.[45] Some Kadabra are theorized to have once been human children who could not control their powers. Its psychic powers can cause clocks to run backwards, or other devices to stop functioning.
",10,80,0
Alakazam,Psychic,Kadabra (#0064),"Its brain cells multiply infinitely with age, amplifying its psychic powers and allowing it to remember everything since its hatching as an Abra. Its muscles are weak, so it lifts its body with its psychic powers. It may give its spoons to someone it trusts. It gained a Mega Evolution in generation VI.
",29,310,0
Machop,Fighting,N/A,"Machop's muscles never get sore. It trains itself by lifting Graveler. Stronger, more confident Machop will compete with Makuhita.
",24,70,0
Machoke,Fighting,Machop(#0066),"Machoke is typically used for heavy lifting jobs due to its strength.Its belt regulates its power, and it only removes it when faced with a particularly powerful opponent.
",23,110,0
Machamp,Fighting,Machoke (#0067),"Machamp has four arms. It can throw around 500 punches in one second and move mountains with one arm. It has poor reflexes and dexterity, with its arms reacting faster than Machamp can think, and getting tangled up when doing delicate tasks. As with Machoke, its belt regulates its power, with more destructive consequences when removed. It gained a Gigantamax form in generation VIII.
",49,330,0
Bellsprout,Grass / Poison,N/A,"It can plant itself into the ground to absorb moisture, but is unable to move while rooted. It can spit acid from its mouth.
",17,60,0
Weepinbell,Grass / Poison,Bellsprout (#0069),"It has a hook on its rear-end that it hooks on trees with and sleeps, but it may fall off if it moves around too much. If it cannot dissolve its prey with acid, it will cut them with its sharp leaves.
",15,90,0
Victreebel,Grass / Poison,Weepinbell (#0070),"Groups of Victreebel wait in temperate forests for unsuspecting prey to walk into their mouths, mistaking their acid for nectar. The more prey it has consumed, the sweeter its acid smells.
",16,150,0
Tentacool,Water / Poison,N/A,"It is 99% composed of water, with the other 1% being an organ that generates poison. If its tentacles are broken off, they can grow back quickly. Its body shrivels up while outside of water, but its poison does not. Though it is visually similar to Toedscool, the two species are not biologically related.
",16,60,0
Tentacruel,Water / Poison,Tentacool (#0072),"Its 80 tentacles can grow back or shrink at will, and it uses them to constrict its prey while immobilizing it with poison. While rare, Tentacruel tend to hunt in groups. Though it is visually similar to Toedscruel, the two species are not biologically related.
",16,120,0
Geodude,Rock / Ground,N/A,"Geodude are proud of their hard bodies, showing them off or competing with Roggenrola, Carbink, or other Geodude to see who is the hardest. Groups of Geodude sit still in mountainous routes, so unsuspecting people often mistake them for ordinary rocks. It has a Rock/Electric-type Alolan form.
",24,80,0
Graveler,Rock / Ground,Geodude (#0074),"It tumbles down mountains for transportation or fun, breaking most of what it crashes into. It does not mind if pieces of itself fall or are scraped off, as they can grow back. It has a Rock/Electric-type Alolan form.
",22,110,0
Golem,Rock / Ground,Graveler (#0075),"It sheds its skin once a year to grow, which in turn crumbles into nutritious soil. It can withdraw its head and limbs into its hollow shell to roll around and down mountains, trampling whatever it passes through. To avoid crushing property, people dig grooves into mountains to guide it. Older Golem stop shedding and have moss growing on their shells. It has a Rock/Electric-type Alolan form.
",26,330,0
Ponyta,Fire,N/A,"When born, it cannot stand properly and runs with its parents to strengthen its legs. It can choose when its flames can burn people or not. It has a Psychic-type Galarian form.
",29,70,0
Rapidash,Fire,Ponyta (#0077),"As a popular Pokémon, Rapidash is considered ""universally appealing"" to fans of cute and cool Pokémon alike. Both Ponyta and Rapidash can enable their body's flames to be harmful or harmless as seen in the anime.[46][47][48][49] A competitive Pokémon, if it sees anything faster than it, such as a car or another Pokémon, it will run at up to 150 mph to try to outrun it. At that point, its hooves barely touch the ground. It can traverse all of Hisui in a day and a half. The faster it goes, the longer its mane becomes. Otherwise, it can be seen cantering in fields. It has a Psychic/Fairy-type Galarian form.
",32,210,0
Slowpoke,Water / Psychic,N/A,"Slowpoke is dumb and lazy, to the point of taking up to five seconds to process pain. It lives on the edges of bodies of water and uses its tail to fish for prey, but may take a day to notice that its tail has already been bitten off. Some cultures believe its yawns bring rain, and worship it. It evolves into Slowbro when a Shellder bites its tail, or into Slowking when it bites its head. It has a Psychic-type Galarian form.
",38,250,0
Slowbro,Water / Psychic,Slowpoke (#0079),"Slowpoke has fished up a Shellder with its tail, which shocked it into evolving and made it stand on two legs. The Shellder has transformed into a spiral-shaped shell to suck more sweet fluids from the Slowbro's tail. If the Shellder were to detach itself from Slowbro in any way, it will devolve back to Slowpoke. Being slow-witted to begin with, the Slowbro does not feel pain in its tail because of Shellder's seeping poison. Since its tail has been bitten by Shellder, it has to grudgingly swim for prey instead. Whenever Shellder bites harder on its tail, it gives Slowbro a flash of inspiration, which it forgets a moment later. It gained a Mega Evolution in generation VI. It has a Poison/Psychic-type Galarian form.
",25,220,0
Magnemite,Electric / Steel,N/A,"The two magnets on its side are used for discharging attacks and floating. It is attracted to electromagnetic waves from devices such as Pokégears, and attaches itself to power breakers. Power outages not caused by storms could be the result of a colony of Magnemite feeding on it. It becomes incapable of flight if it out of electricity. The two magnets on its side are powerful enough to draw in iron objects from up to 300 feet away, and get stronger the faster they spin. Touching it while it is eating electricity will give a full body shock. Its numbers have been decreasing because most modern power lines are buried under the ground. Magnemite has ranked highly on multiple Japanese polls[50][51][52] In a 2008 poll of Japanese children, it placed second, which Magmix writer Katano explained was due to Internet trolls. Katano suggested that its placement in this poll contributed to it becoming a more popular Pokémon. It was called the ""First Coil Shock"" (in reference to its Japanese name ""Coil""), and two subsequent polls related to other franchises have been dubbed the ""Second Coil Shock"" and ""Third Coil Shock.""[53]
",45,60,0
Magneton,Electric / Steel,Magnemite (#0081),"Formed when several Magnemite fuse together, it tends to raise the temperature up by 3.6 °F within 3,600 ft (1,100 m). It generates strange radio signals. Groups of Magneton tend to gather where sun flares happen. Exposure to one can cause earaches. Its magnetism is so powerful it dries up moisture in its vicinity, and is potentially fatal to devices like TVs. As a result, large cities have sirens to warn their citizens of Magneton appearances, and trainers are warned to keep Magneton inside their Poké Balls. When it evolves, the Magnemite's brains link up, though they do not become three times smarter. When rain clouds form, they like to gather in high spots where lightning could strike. Sandy Shocks appears to be an ancient relative of it.
",44,100,0
Farfetch'd,Normal / Flying,No evolution[nb 6],"It carries around a green onion stalk like a sword. It apparently knows where the best ones are and will fight other Farfetch'd over them. In emergencies, it will eat them, and then run off to find a new one. Farfetch'd were so rare at one point that people bred them to regrow the population. Since it cannot live without it, it will defend its stalk with its life. It has a Fighting-type Galarian form.
",20,90,0
Doduo,Normal / Flying,N/A,"Its short wings make flying difficult, so it has instead become a powerful runner, being able to reach speeds of 60 mph. Both heads have identical brains, though it is believed that some Doduo have different brains. It raises and lowers its heads to maintain balance while running. One head will stay on alert while the other sleeps.
",21,70,0
Dodrio,Normal / Flying,Doduo (#0084),"The head with the thickest neck is deemed the leader, and has control over the body. The three heads express joy, sorrow, and anger as they plan strategies together. If they cannot agree on something to do or overthink their plans, they will be unable to move. When two heads sleep, one head remains awake. It has three hearts and six lungs, giving it increased endurance, so while it is slower than Doduo, it can run for longer periods of time.
",19,200,0
Seel,Water,N/A,"It loves swimming around in 14 °F waters. Its horn is hard enough to bash its way through ice. It has a thick hide covered in warm fur. It goes in waters up to -40 °F. Though not a great walker, it is a skilled swimmer. It closes its nostrils when it swims. In the daytime, it can be found sleeping on the seabed of shallow waters. Their presence in the Alolan climate is considered a mystery.
",18,80,0
Dewgong,Water / Ice,Seel (#0086),"Dewgong can store thermal energy in its body to withstand cold temperatures. At night, it hunts for prey like Wishiwashi, and during the day, it sleeps on ice or shallow water, or sunbathes on beaches. A fisherman once mistook a Dewgong on an iceberg for a mermaid.
",16,130,0
Grimer,Poison,N/A,"Being mostly composed of poisonous filth, it can squeeze into sewage pipes with ease. Grimer lived mostly in urban cities, factories, and lakes, where it could find waste to consume, though environmental improvements have caused its population to start dwindling. It has a Poison/Dark-type Alolan form.
",24,80,0
Muk,Poison,Grimer (#0088),"It is based on the dorotabō, a one-eyed, three-fingered yōkai that rises from the mud of neglected, overgrown rice fields. Muk is covered in a toxic filthy sludge so vile that any land it walks through becomes inhospitable for up to three years. A drop of its body fluid can turn a pool rancid or leave a person bedridden for days. Its nose has devolved, so it cannot smell anything. It feeds on anything repugnant and filthy, like sewer water. Its numbers have started declining since people have begun cleaning up towns, and because some people think it may go extinct, sludge pools are being built to prevent this. Like Grimer, it has a Poison/Dark-type Alolan form.
",31,270,0
Shellder,Water,N/A,"Tugging on its tongue, which is always sticking out, will startle it into opening its shell. It opens and closes its shell in rapid succession to propel itself backwards. Shellder have been known to seek out Slowpoke's tails, inadvertently causing them to evolve into Slowbro. Biting its head will instead cause it to evolve into Slowking. It and Cloyster are related to the Shellos line.
",14,70,0
Cloyster,Water / Ice,Shellder (#0090),"It normally keeps its shell closed unless it is attacking. It uses the same projectile system — swallowing seawater and ejecting it from the front or rear — to shoot its spikes and swim. Its internal anatomy has yet to be seen.
",14,130,0
Gastly,Ghost / Poison,N/A,"It hides under structures to stop the wind from blowing away its gaseous body. It engulfs prey of any size with its gas, poisoning it through its skin or suffocating it.
",32,60,0
Haunter,Ghost / Poison,Gastly (#0092),"Because of its ability to slip through walls, Haunter is said to be from another dimension. It saps its victims' life by licking them with its cold, gaseous tongue. Those licked by it grow weaker with each passing day, shaking uncontrollably until they die. If one trips and falls for no apparent reason or hear a sound when no one is around, it may be a Haunter. Because it fears the light and revels in the dark, it may be on the verge of extinction in cities that stay brightly lit at night. On moonless nights, Haunter searches for someone to curse.
",28,90,0
Gengar,Ghost / Poison,Haunter (#0093),"Gengar seeps into the shadows of people and Pokémon to scare them for fun or eat their life force. A sudden chill of 10 °F or cooler may be a Gengar trying to curse someone. Gengar will lurk in whatever dark corner of a room it can find and wait for its chance to catch its prey. It likes to attack people in mountains. Sometimes, Gengar will pose as people's shadows. It apparently wishes for a traveling companion. Since it may have once been human, it tries to create one by taking the lives of other humans. Initially created by Satoshi Tajiri and Ken Sugimori,[54][55] it has become one of the most popular Pokémon, placing tenth on the Google Pokémon of the Year 2020 poll.[56] Kotaku's Zack Zwiezen said Gengar was ""one of [their] favorite gen 1 designs"", calling it a ""great design [because] it's simple, yet not boring or generic"".[57] Gengar has appeared in many Pokémon spin-offs or crossovers, including Pokkén Tournament[58] and Pokémon Unite.[59] It gained a Mega Evolution in generation VI and a Gigantamax form in generation VIII.
",46,320,0
